category,brand,expected_domain,in_library,brand_id,library_brand_name,vertical_l1,vertical_l2,status
Broker / Trading,eToro,etoro.com,yes,brand_etoro-com_e93fc0bc,Etoro,finance,digital_banking,active
Broker / Trading,Interactive Brokers,interactivebrokers.com,yes,brand_interactivebrokers-com_8e5dbc6a,Interactivebrokers,finance,digital_banking,active
Broker / Trading,SoFi Invest,sofi.com,yes,brand_sofi-com_89757745,Sofi,finance,digital_banking,active
Broker / Trading,M1 Finance,m1.com,yes,brand_m1-com_3d4d132e,M1,finance,digital_banking,active
Broker / Trading,Robinhood,robinhood.com,yes,brand_robinhood-com_fb4b101b,Robinhood,finance,digital_banking,active
Broker / Trading,Webull,webull.com,yes,brand_webull-com_c0075211,Webull,finance,digital_banking,active
Broker / Trading,Stash,stash.com,yes,brand_stash-com_eaa8ce17,Stash,finance,digital_banking,active
Research / Analysis Tools,TradingView,tradingview.com,yes,brand_tradingview-com_b9fc4f72,Tradingview,beauty_personal_care,skincare,active
Research / Analysis Tools,Motley Fool,fool.com,yes,brand_fool-com_899c4d4f,Fool,gaming_entertainment,gaming,active
Research / Analysis Tools,Seeking Alpha,seekingalpha.com,yes,brand_seekingalpha-com_7c4b61b8,Seekingalpha,food_beverage,snacks,active
Research / Analysis Tools,Benzinga Pro,benzinga.com,yes,brand_benzinga-com_be1789a8,Benzinga,home_improvement,home_decor,active
Research / Analysis Tools,Finviz,finviz.com,yes,brand_finviz-com_5da2aad0,Finviz,finance,digital_banking,active
Research / Analysis Tools,Zacks Investment Research,zacks.com,yes,brand_zacks-com_f8fee5ff,Zacks,finance,digital_banking,active
Research / Analysis Tools,Kavout,kavout.com,yes,brand_kavout-com_7f7a9e7e,Kavout,finance,digital_banking,active
Research / Analysis Tools,Coinrule,coinrule.com,yes,brand_coinrule-com_3671fd7d,Coinrule,finance,digital_banking,active
Crypto Exchange,Binance,binance.com,yes,brand_binance-com_6390dc4a,Binance,fashion,apparel,active
Crypto Exchange,Coinbase,coinbase.com,yes,brand_coinbase-com_47aa389c,Coinbase,home_appliance,kitchen_appliance,active
Crypto Exchange,Crypto.com,crypto.com,yes,brand_crypto-com_fb75f56a,Crypto,education,online_learning,active
Crypto Exchange,OKX,okx.com,yes,brand_okx-com_f29b3fd0,Okx,finance,digital_banking,active
Crypto Exchange,KuCoin,kucoin.com,yes,brand_kucoin-com_f43bf685,Kucoin,finance,digital_banking,active
Crypto Exchange,Bybit,bybit.com,yes,brand_bybit-com_95bad833,Bybit,finance,digital_banking,active
Crypto Exchange,Kraken,kraken.com,yes,brand_kraken-com_1dd936db,Kraken,finance,digital_banking,active
Crypto Wallet,Ledger,ledger.com,yes,brand_ledger-com_2a50a5e7,Ledger,finance,digital_banking,active
Crypto Wallet,Trezor,trezor.io,yes,brand_trezor-io_9e049f80,Trezor,finance,digital_banking,active
Personal Finance,TurboTax,turbotax.com,yes,brand_turbotax-com_3ddd5e0d,Turbotax,finance,digital_banking,active
Personal Finance,Quicken / Simplifi,quicken.com,yes,brand_quicken-com_34e6abfb,Quicken,finance,digital_banking,active
Personal Finance,YNAB,ynab.com,yes,brand_ynab-com_c72b966a,Ynab,finance,digital_banking,active
Online Education,Coursera,coursera.org,yes,brand_coursera-org_b01d8d9f,Coursera,saas,productivity,active
Online Education,Skillshare,skillshare.com,yes,brand_skillshare-com_5fccb0d0,Skillshare,art_culture,craft,active
Online Education,MasterClass,masterclass.com,yes,brand_masterclass-com_521758d5,Masterclass,gaming_entertainment,gaming,active
Books,Amazon Books,amazon.com,yes,brand_amazon-com_917e757b,Amazon,education,online_learning,active
